view,scope,element_id,category,near_face_w,fpp,export_dpi,view_scale,cap_applied,pad_x,pad_y,px_count,px_w,px_h,ref_du_ft,ref_dv_ft,ref_aspect,exc_umin_ft,exc_umax_ft,exc_vmin_ft,exc_vmax_ft,worst_ft,worst_px,clipped,touches_image_edge
_E_ HOSPITAL - LEVEL 1_542078,host,518876,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,118,29,12,5.0936099291052415,1.9122894285503094,2.6636187247903496,-0.20702282152717544,-0.2632471262196532,-0.01940248095520758,0.020219251587732856,0.020219251587732856,0.12682569276940062,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518877,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,38,6,10,0.8753872086491015,1.5057447257293148,0.5813649509714227,0.031082463035716046,0.050083427906542966,0.06773017443987328,0.02078026581641268,0.06773017443987328,0.4248389836516422,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518878,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,1355,319,95,51.279173971072794,15.260035558323032,3.3603574365922384,-0.23441231947350616,-0.18802185665629167,-0.09225635638743768,-0.02235512507176196,-0.02235512507176196,-0.14022300538032492,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518879,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,34,6,10,0.8484814699218077,1.4126461076550214,0.6006327170860072,0.09322527863241703,0.014846351037249406,0.11394877670485926,0.06766028162572013,0.11394877670485926,0.714746165708102,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518880,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,120,30,12,5.070618028194815,1.9056447103847418,2.660841236859455,-0.13448679976772837,-0.15336573047005686,0.02393337000741269,-0.01647188120931986,0.02393337000741269,0.15012258086437208,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518881,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,36,6,10,0.8616642190575021,1.458260752894276,0.5908848725081014,0.10361848479516311,-0.008729604261304758,0.10442130723689758,0.031573105854540984,0.10442130723689758,0.6549849074651584,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518882,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,510,121,39,19.447853463032857,6.060702521476017,3.2088447492876697,0.08946893421790492,-0.2468348888241394,0.056376320173157524,0.10051630569495273,0.10051630569495273,0.6304907008584605,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518883,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,3092,213,727,33.96289073317621,115.9943631159066,0.2927977689677818,-0.003736189491121422,-0.001519508190256147,0.04557643011960977,-0.13758897886785348,0.04557643011960977,0.2858791433893926,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518884,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,170,41,16,6.695497152565906,2.3752389330290953,2.818873107652909,-0.24184147405406975,0.08279050202941107,0.13319633664005437,0.042372995907925315,0.13319633664005437,0.8354769015768174,False,False
_E_ HOSPITAL - LEVEL 1_542078,host,518885,Walls,-8.0,0.15942551659856716,150.0,96.0,True,0.34045938789495267,0.0,547,41,130,6.48697354389418,20.922826646797887,0.31004288538073665,0.05669754131525906,-0.007224904668191812,-0.004172700506359206,-0.19333678847780789,0.05669754131525906,0.3556365538273478,False,False
